"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"12W-1"	"12W-2"	"12W-4"	"12W-3"	"12W-5"	"12W-6"	"32W-5"	"32W-6"	"32W-7"	"32W-8"	"52W-1"	"52W-2"	"24W-1"	"24W-2"	"24W-3"	"24W-4"	"24W-5"	"24W-6"	"24W-7"	"24W-8"	"12W-7"	"12W-8"	"4W-1"	"4W-2"	"4W-3"	"4W-4"	"4W-5"	"4W-6"	"4W-7"	"4W-8"	"52W-3"	"52W-4"	"52W-5"	"52W-6"	"52W-7"	"52W-8"	"32W-1"	"32W-2"	"32W-3"	"32W-4"
""	""	""	""	"PC(P-20:0/14:0)"	"746.6038119"	""	""	""	"416.46"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"177.8931576"	"171.4097017"	"162.2343126"	"270.9379687"	"181.4023584"	"152.6703679"	"249.1915349"	"169.9183216"	"216.4485958"	"238.8757045"	"450.5447202"	"269.2718483"	"178.6905213"	"155.6653735"	"136.5210184"	"123.9678705"	"223.0410288"	"250.324297"	"191.6851157"	"167.776215"	"183.5981373"	"138.6705972"	"277.3122404"	"419.9547637"	"268.4510546"	"375.74786"	"248.0605933"	"224.4437942"	"198.1426666"	"158.3895968"	"515.7843118"	"306.5505061"	"403.5116812"	"1079.311345"	"1004.712523"	"129.9750808"	"153.4735596"	"185.1807298"	"268.6171963"	"206.6261805"
""	""	""	""	"PC(P-20:0/14:0)"	"746.6162897"	""	""	""	"364.988"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"250.2485599"	"196.4271524"	"242.7348241"	"361.5873375"	"43.49087676"	"218.5524231"	"377.4895956"	"55.13578955"	"271.9156965"	"55.6175413"	"270.9770131"	"404.6169447"	"251.5291139"	"203.6056658"	"177.1406591"	"201.5292322"	"48.00181205"	"48.22310278"	"210.9072004"	"206.7325042"	"237.4983234"	"29.93590712"	"283.6030113"	"234.9618822"	"60.63311116"	"278.2312758"	"141.9248194"	"59.21475854"	"145.8643038"	"131.6797915"	"389.2340568"	"261.2795002"	"270.9688557"	"140.4521013"	"564.9602719"	"450.834845"	"326.755289"	"335.0635109"	"252.4040795"	"209.5014552"
""	""	""	""	"PC(P-20:0/15:0)"	"760.6117532"	""	""	""	"466.5185"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"265.0718948"	"368.2201379"	"289.0866071"	"273.1463884"	"302.7419484"	"261.8638372"	"581.2495237"	"440.0572435"	"442.0761036"	"330.8065762"	"602.9928563"	"519.3643087"	"314.5063122"	"268.8205106"	"317.7164166"	"210.0735256"	"303.9984745"	"340.0342396"	"310.5271966"	"270.4533124"	"215.4529673"	"218.7938344"	"283.6704868"	"273.7556083"	"305.4277996"	"236.818124"	"199.6927022"	"169.0974226"	"163.5035515"	"117.3641064"	"755.9561685"	"417.6225101"	"457.814913"	"1566.091815"	"1524.193855"	"693.2109229"	"284.0234244"	"346.5664829"	"306.2281636"	"255.4436714"
""	""	""	""	"PC(P-20:0/15:0)"	"760.6305927"	""	""	""	"413.416"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"319.7823762"	"326.1113924"	"235.5685432"	"466.0286038"	"322.4991604"	"201.7431922"	"881.0319386"	"382.5106688"	"475.5095917"	"363.372591"	"858.4270498"	"1306.003636"	"337.858689"	"398.0509159"	"286.5497548"	"226.4007804"	"348.9758538"	"357.6840916"	"421.1316074"	"339.5107573"	"255.899972"	"213.6260667"	"343.0937969"	"263.2109726"	"308.4803044"	"314.6748381"	"453.121157"	"130.8191316"	"140.273299"	"389.4853411"	"825.0151947"	"624.4631123"	"596.4737956"	"1565.852413"	"2139.042524"	"837.1874498"	"185.9298573"	"395.6497933"	"306.1212167"	"287.6486439"
""	""	""	""	"PC(P-20:0/15:0)"	"760.6295475"	""	""	""	"320.09"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"33.2110359"	"42.08222148"	"28.02924512"	"54.86598418"	"24.39113719"	"24.56626538"	"35.34206145"	"27.35941275"	"26.09264335"	"23.01978994"	"53.7288478"	"42.20786273"	"19.0590269"	"17.31134753"	"20.38830596"	"13.80122537"	"27.3793976"	"28.15795099"	"25.06946636"	"22.67756395"	"28.75653666"	"19.69314848"	"53.52079966"	"60.71799015"	"56.09121588"	"63.57368517"	"37.63565013"	"37.37485436"	"24.28419164"	"16.98810339"	"39.56750093"	"31.28750534"	"31.59280306"	"63.82943478"	"72.82200127"	"50.78433995"	"18.42137345"	"29.96579334"	"19.63486238"	"17.73651588"
""	""	""	""	"PC(P-20:0/15:0)"	"760.6385452"	""	""	""	"402.804"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"256.0621945"	"281.9719684"	"216.26427"	"332.6151781"	"563.411471"	"523.5932694"	"922.4366024"	"239.2532638"	"256.8124106"	"216.9838349"	"560.5269896"	"1119.941472"	"255.9395991"	"526.7271496"	"622.3073881"	"439.0293137"	"265.3297031"	"235.0043487"	"542.1929667"	"212.1367651"	"633.3502208"	"141.731528"	"719.7819269"	"293.1090453"	"286.227699"	"252.1994522"	"225.6378964"	"626.0704567"	"136.9989794"	"128.8537194"	"1339.504013"	"887.4171086"	"419.3831362"	"659.8082889"	"1713.264886"	"529.1323671"	"269.5980233"	"638.7970845"	"212.1126896"	"166.3847424"
""	""	""	""	"PC(P-18:0/18:4)"	"766.5801063"	""	""	""	"347.408"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"935.5272669"	"1123.54319"	"889.5958144"	"657.665399"	"628.0718547"	"583.0941212"	"870.2119617"	"379.7220043"	"536.7553258"	"611.2748497"	"949.152061"	"1108.189047"	"862.8842145"	"759.445051"	"908.5872597"	"677.4464507"	"697.3637019"	"793.9812285"	"452.68504"	"784.347127"	"602.370414"	"600.7994105"	"858.0747466"	"917.2755167"	"667.9294305"	"657.7716351"	"267.7866673"	"422.6182628"	"379.8250627"	"394.5902842"	"848.0215044"	"696.432432"	"730.9223205"	"1553.873166"	"1505.71435"	"1010.284566"	"894.1598494"	"880.8573858"	"688.125786"	"498.4757043"
""	""	""	""	"PC(P-18:0/18:4)"	"766.5778292"	""	""	""	"265.984"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"11.54673506"	"15.26886696"	"11.05248635"	"18.53899392"	"11.27600774"	"8.990885507"	"7.292843829"	"4.991132629"	"6.055756303"	"6.356259634"	"7.992262211"	"6.759954285"	"10.00812787"	"8.08207906"	"6.363539841"	"2.379223095"	"7.315514821"	"6.347852739"	"7.295193018"	"9.11033007"	"12.66839402"	"11.0561184"	"15.97682186"	"21.32758897"	"12.31300547"	"17.89352297"	"13.77249467"	"15.23111564"	"13.10640627"	"10.17676395"	"10.82056888"	"5.465061603"	"5.39211972"	"15.268894"	"10.00339171"	"9.979196818"	"7.73690171"	"7.794904282"	"8.505713801"	"6.180460557"
""	""	""	""	"PC(P-18:0/18:4)"	"766.5803694"	""	""	""	"399.8535"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"1104.963545"	"1116.117578"	"1224.35238"	"1309.893459"	"1292.698256"	"1928.084295"	"888.5300625"	"616.0111987"	"1100.929108"	"988.1565895"	"1670.805136"	"1147.817129"	"989.0698362"	"1014.750479"	"929.7110195"	"871.2092919"	"905.7013462"	"1119.044652"	"759.5014578"	"850.0703461"	"1456.392292"	"1301.370825"	"992.5439444"	"1414.572877"	"779.4181041"	"1472.985293"	"679.3408391"	"1121.795609"	"1118.389474"	"1067.731513"	"1416.249635"	"915.0878384"	"1491.315135"	"2954.366101"	"2386.713583"	"1235.290609"	"1331.685773"	"1074.925888"	"983.6064263"	"1190.602783"
""	""	""	""	"PC(P-18:0/18:4)"	"766.5854199"	""	""	""	"414.123"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/862507"	"Mus"	""	""	" MSI:2"	""	""	""	""	""	""	"322.9508718"	"389.0473488"	"378.1694948"	"511.5376994"	"397.3487044"	"341.8885044"	"359.8615603"	"247.9713292"	"366.0971405"	"404.449475"	"363.0608575"	"491.5284623"	"347.4521954"	"339.7183254"	"367.3877911"	"318.7573611"	"318.3413903"	"478.6758035"	"373.1054209"	"418.0886926"	"432.0632388"	"370.9650146"	"270.9934804"	"419.8862351"	"280.728024"	"384.7626252"	"146.6124867"	"254.012168"	"264.5148097"	"225.7193425"	"537.8713576"	"375.0013597"	"363.0630084"	"1230.416757"	"762.2597269"	"576.5509387"	"333.6280083"	"404.1679007"	"344.9563115"	"396.8947609"
